"","Area.Code","Year","meanTDkg"
"1",1,1989,0.0562024591816401
"2",1,1992,0.028511131061565
"3",1,1995,0.010010170484908
"4",1,1998,0.0336324929410367
"5",1,2001,0.00513248556351475
"6",1,2004,-0.000871612661223474
"7",1,2007,0.0198171535574029
"8",1,2010,0.0284694321652418
"9",1,2013,0.0151507381050073
"10",2,1989,-0.347628493500053
"11",2,1992,-0.159772819856986
"12",2,1995,-0.126441964609236
"13",2,1998,-0.142303399359253
"14",2,2001,-0.140853130887272
"15",2,2004,-0.139405897592649
"16",2,2007,-0.105641412175409
"17",2,2010,-0.157100878095035
"18",2,2013,0.0763578242317123
"19",3,1989,-0.374637864993985
"20",3,1992,-0.081796528816315
"21",3,1995,0.0837627429053833
"22",3,1998,0.0990571807433231
"23",3,2001,0.182759722212771
"24",3,2004,0.185096975032627
"25",3,2007,0.156061547540943
"26",3,2010,0.0940413328386267
"27",3,2013,0.0394839451674424
"28",4,1989,0.0565074039928956
"29",4,1992,0.0460003785723447
"30",4,1995,0.00956636616948338
"31",4,1998,0.00540295618988989
"32",4,2001,0.0121645616201979
"33",4,2004,0.0747189347229467
"34",4,2007,0.0723173453919589
"35",4,2010,0.0704547687299091
"36",4,2013,0.0784793718853591
"37",7,1989,0.0277967809888996
"38",7,1992,0.0231537002292627
"39",7,1995,0.0200262102713004
"40",7,1998,0.0441824161282625
"41",7,2001,0.0643957444130585
"42",7,2004,0.0892968935555237
"43",7,2007,0.084764925811039
"44",7,2010,0.0402549294247226
"45",7,2013,0.0491458791204497
"46",8,1989,0.261050061050061
"47",8,1992,0.207875457875458
"48",8,1995,0.218113912231559
"49",8,1998,0.246153846153846
"50",8,2001,0.351143790849673
"51",8,2004,0.304166666666667
"52",8,2007,0.643374741200828
"53",8,2010,0.499206349206349
"54",8,2013,0.932330827067669
"55",9,1989,-0.231611544019645
"56",9,1992,-0.263094349803573
"57",9,1995,-0.12664122115059
"58",9,1998,-0.205434583619128
"59",9,2001,-0.127005791880948
"60",9,2004,-0.367846132011904
"61",9,2007,-0.532375952226877
"62",9,2010,-0.43184355489398
"63",9,2013,-0.378212563186837
"64",10,1989,-0.140470538580825
"65",10,1992,-0.094494483473502
"66",10,1995,-0.107397950295963
"67",10,1998,-0.0912427945872742
"68",10,2001,-0.0391445045336861
"69",10,2004,0.040842863562977
"70",10,2007,0.117702126089028
"71",10,2010,0.179332651930232
"72",10,2013,0.209140186613486
"73",11,1989,0.54297074000442
"74",11,1992,0.625875224845041
"75",11,1995,0.621294129516479
"76",11,1998,0.485012892742922
"77",11,2001,0.47348732134349
"78",11,2004,0.458318397036611
"79",11,2007,0.497125022766714
"80",11,2010,0.462814006085331
"81",11,2013,0.475900152117023
"82",12,1989,0.648401826484018
"83",12,1992,0.654415301474125
"84",12,1995,0.619205811265238
"85",12,1998,0.613968685300207
"86",12,2001,0.731631175197352
"87",12,2004,0.716539762780284
"88",12,2007,0.473666996394269
"89",12,2010,0.564969253380079
"90",12,2013,0.556758056758057
"91",14,1989,0.736126239352046
"92",14,1992,0.696816274402481
"93",14,1995,0.640873015873016
"94",14,1998,0.619444444444444
"95",14,2001,0.726850138760407
"96",14,2004,0.750831847890671
"97",14,2007,0.793954874414645
"98",14,2010,0.79406850459482
"99",14,2013,0.710409932294431
"100",16,1989,0.0188768117820948
"101",16,1992,0.0468912898325162
"102",16,1995,0.0373930018725246
"103",16,1998,0.047680655555573
"104",16,2001,0.0544012989174773
"105",16,2004,0.120564889502685
"106",16,2007,0.0363739573332799
"107",16,2010,0.136753762361685
"108",16,2013,0.0953226223975798
"109",17,1989,0.958169934640523
"110",17,1992,0.983037659508248
"111",17,1995,1.03703703703704
"112",17,1998,1.04363636363636
"113",17,2001,1.0009746588694
"114",17,2004,0.904761904761905
"115",17,2007,0.798534798534798
"116",17,2010,0.743589743589744
"117",17,2013,0.649137529137529
"118",19,1989,0.00821921442846973
"119",19,1992,0.00403638574912781
"120",19,1995,0.0108369798516223
"121",19,1998,0.0117522896823822
"122",19,2001,0.0187918564876901
"123",19,2004,0.000460967857746789
"124",19,2007,-0.0418497361976535
"125",19,2010,-0.0437774815497049
"126",19,2013,-0.0539241649155319
"127",20,1989,0.593796770530147
"128",20,1992,0.736076706688054
"129",20,1995,0.761769207223753
"130",20,1998,0.783932254145832
"131",20,2001,0.856254271990106
"132",20,2004,0.831433606692674
"133",20,2007,0.780682780951664
"134",20,2010,0.798045440398382
"135",20,2013,0.776687340314406
"136",21,1989,-0.470114332069237
"137",21,1992,-0.59637848586821
"138",21,1995,-0.689294877036825
"139",21,1998,-0.456294185684187
"140",21,2001,-0.519271424309736
"141",21,2004,-0.428905346431342
"142",21,2007,-0.428925412364475
"143",21,2010,-0.273756520619949
"144",21,2013,-0.312726289001296
"145",23,1989,-1.8450110864745
"146",23,1992,-1.38557847381377
"147",23,1995,-2.12750977835724
"148",23,1998,-3.22422316384181
"149",23,2001,-3.49840048536996
"150",23,2004,-3.27994987468672
"151",23,2007,-4.41147828863346
"152",23,2010,-3.11112097012718
"153",23,2013,-4.01029289139045
"154",25,1989,0.103508771929825
"155",25,1992,0.0621212121212121
"156",25,1995,-9.25185853854297e-18
"157",25,1998,-9.25185853854297e-18
"158",25,2001,0.0175438596491228
"159",25,2004,0.0353615520282187
"160",25,2007,0.0870628693209338
"161",25,2010,0.0776315789473684
"162",25,2013,0.098001848001848
"163",26,1989,0.743145743145743
"164",26,1992,0.762049062049062
"165",26,1995,0.777273872511968
"166",26,1998,0.783721879213683
"167",26,2001,0.670433145009416
"168",26,2004,0.942690779971112
"169",26,2007,0.726086864451644
"170",26,2010,0.737561509021323
"171",26,2013,0.75351519825204
"172",27,1989,-0.328792968989805
"173",27,1992,-0.147194863676927
"174",27,1995,-0.0170168425316891
"175",27,1998,-0.0463261458880234
"176",27,2001,0.050684994323488
"177",27,2004,0.0991512025567269
"178",27,2007,0.287443109424466
"179",27,2010,0.37297889300698
"180",27,2013,0.384437636790527
"181",28,1989,-0.00143441090549452
"182",28,1992,-0.00361688014675045
"183",28,1995,-0.00301281384186946
"184",28,1998,-0.00254247003693708
"185",28,2001,-0.0073024236482931
"186",28,2004,-0.013652540371195
"187",28,2007,0.00549178837841019
"188",28,2010,-0.0376743212507247
"189",28,2013,-0.00520167177083543
"190",32,1989,-0.0188440695021096
"191",32,1992,-0.046657263737211
"192",32,1995,-0.066250921400098
"193",32,1998,-0.0643022105712292
"194",32,2001,-0.0855519809715599
"195",32,2004,-0.100813531116763
"196",32,2007,-0.0709919367049069
"197",32,2010,-0.063300146066514
"198",32,2013,-0.0460804848484845
"199",33,1989,0.601483830484168
"200",33,1992,0.608653618237723
"201",33,1995,0.616734323389575
"202",33,1998,0.622890244902085
"203",33,2001,0.636710598054753
"204",33,2004,0.646307746684127
"205",33,2007,0.658424393200895
"206",33,2010,0.671180209362636
"207",33,2013,0.678591392902819
"208",35,1989,0.112781954887218
"209",35,1992,0.171082621082621
"210",35,1995,0.305329079522628
"211",35,1998,0.302695132106897
"212",35,2001,0.226158387883455
"213",35,2004,0.249146638801811
"214",35,2007,0.327785087719298
"215",35,2010,0.421688456678994
"216",35,2013,0.339305555555556
"217",37,1989,0.00490291262135922
"218",37,1992,0.00309373070904575
"219",37,1995,0.00986270753512133
"220",37,1998,0.00138888888888889
"221",37,2001,0.00372511209720512
"222",37,2004,0.00369493086776629
"223",37,2007,0.00474311369796629
"224",37,2010,0.00342508604494906
"225",37,2013,0.00546923144643014
"226",38,1989,0.0304301897518794
"227",38,1992,0.0438827639692186
"228",38,1995,0.0337862386550942
"229",38,1998,0.0872486738703251
"230",38,2001,0.104776715623153
"231",38,2004,0.134001943404361
"232",38,2007,0.123053095031694
"233",38,2010,0.138550797649332
"234",38,2013,0.129645326611455
"235",39,1989,0.00204498977505112
"236",39,1992,0
"237",39,1995,0.00194931773879142
"238",39,1998,0
"239",39,2001,-0.0152380952380952
"240",39,2004,0
"241",39,2007,0.00479150479150479
"242",39,2010,0.00163398692810458
"243",39,2013,0.00488735374657705
"244",40,1989,-0.646396468753519
"245",40,1992,-0.958390776584973
"246",40,1995,-0.837604057149811
"247",40,1998,-1.05576106447724
"248",40,2001,-1.29288898426815
"249",40,2004,-1.21583883806844
"250",40,2007,-1.44639160200795
"251",40,2010,-1.57724941603669
"252",40,2013,-1.795288050015
"253",41,1989,-0.0131641851920167
"254",41,1992,-0.0139682664690638
"255",41,1995,-0.0144418220438508
"256",41,1998,-0.0121558087677166
"257",41,2001,-0.0133430450307629
"258",41,2004,-0.0201853752365657
"259",41,2007,-0.027351531059258
"260",41,2010,-0.0266134957631402
"261",41,2013,-0.0253387965532814
"262",44,1989,-0.231549378115029
"263",44,1992,-0.328149432435966
"264",44,1995,-0.309522345947052
"265",44,1998,-0.276802803444668
"266",44,2001,-0.234893292086906
"267",44,2004,-0.197567956746781
"268",44,2007,-0.201300419452144
"269",44,2010,-0.197498987099802
"270",44,2013,-0.163219792941346
"271",46,1989,0.0266666666666667
"272",46,1992,0.0422042124828503
"273",46,1995,0.0392604392842497
"274",46,1998,0.116307528374631
"275",46,2001,0.0975826514402182
"276",46,2004,0.132988627534082
"277",46,2007,0.0446983276798362
"278",46,2010,0.0730305100182149
"279",46,2013,0.0928722142834096
"280",48,1989,-3.12683518369507
"281",48,1992,-3.01723045826866
"282",48,1995,-4.01879427296207
"283",48,1998,-4.38444624536942
"284",48,2001,-3.73369291620242
"285",48,2004,-4.82101539411583
"286",48,2007,-5.11187258701916
"287",48,2010,-6.57359866562538
"288",48,2013,-5.21656640967623
"289",49,1989,-0.399177548196379
"290",49,1992,-0.227461104385334
"291",49,1995,-0.0503784164971615
"292",49,1998,-0.0190234690298668
"293",49,2001,-0.119064611626151
"294",49,2004,-0.0539212272885691
"295",49,2007,-0.0269515861443009
"296",49,2010,-0.0141192985696323
"297",49,2013,-0.013795677842247
"298",50,1989,-0.947616698452421
"299",50,1992,-0.7588492808005
"300",50,1995,-0.689317027624058
"301",50,1998,-0.466067840968239
"302",50,2001,-0.290249031018027
"303",50,2004,-0.387499822096979
"304",50,2007,-0.205778784170605
"305",50,2010,-0.0522103803244294
"306",50,2013,-0.138978425191235
