"","fao_id","Area","subregion","1989","1992","1995","1998","2001","2004","2007","2010","2013"
"1",2,"Afghanistan","Southern Asia",NA,NA,NA,NA,NA,NA,NA,4.80360625118536,4.5691066498124
"2",3,"Albania","Southern Europe",NA,NA,NA,11.4513204591757,14.728099206987,17.2441139343421,13.4421385050232,16.2492577794234,13.0926670264522
"3",4,"Algeria","Northern Africa",8.28314966207317,6.70238845403436,5.52791845102537,12.1125466532404,11.3173789833132,14.546965026995,11.166182194333,9.70632367044648,7.88645803173987
"4",8,"Antigua and Barbuda","Caribbean",NA,NA,NA,NA,NA,NA,8.76596214556125,NA,11.5684021577619
"5",9,"Argentina","South America",6.2605241391202,10.4996338049882,7.06605492272899,9.33306927321956,9.34677069654745,7.73740768640537,9.31056743013875,9.13933607822559,10.3342662355171
"6",1,"Armenia","Western Asia",8.18454323969454,NA,NA,NA,13.5302449869427,8.65816720194705,8.27908694202679,4.88465363245988,4.88728905872418
"7",10,"Australia","Australia and New Zealand",16.9301928571036,18.8158326950067,16.8190954376901,17.7460403892195,20.475443774285,17.278274721886,20.3872389912283,17.3793579484193,20.8498058065122
"8",11,"Austria","Western Europe",23.4303939147629,22.9084701733569,16.7962317748394,8.55276385386968,8.00272330694268,7.89547902512704,10.689680608216,9.77544115900814,9.45802488793555
"9",52,"Azerbaijan","Western Asia",8.18454323969454,NA,NA,NA,5.53415260036411,5.51444886634183,4.15173517810285,5.12556602344185,4.75304664929551
"10",12,"Bahamas","Caribbean",NA,NA,NA,NA,1.38455703330788,NA,1.46293287963673,1.52675967112702,2.04022730447696
"11",16,"Bangladesh","Southern Asia",NA,NA,NA,6.98898494946807,NA,NA,11.0200647596075,NA,NA
"12",14,"Barbados","Caribbean",4.46738084569906,4.11962460255059,5.04733859832548,6.04055059276998,6.90254283180216,5.72806033256284,5.86844360563077,6.83941152741976,7.53038164605682
"13",57,"Belarus","Eastern Europe",8.18454323969454,NA,NA,10.6988946665302,10.4994061110343,8.41259951181598,8.34196035880561,8.68739621462307,9.01715926652084
"14",255,"Belgium","Western Europe",7.98766269854287,6.41562006132321,6.49788432645143,6.3646671559224,5.22447541886481,7.3830562484639,7.37222138385172,8.38148507633104,8.8964256169728
"15",23,"Belize","Central America",NA,2.00939573019498,2.8242492836491,2.79339770104283,2.65612826009768,2.94032221065329,3.52936259706824,3.77871030708268,3.8219786166515
"16",53,"Benin","Western Africa",NA,3.37268552405726,4.83505569250218,9.32895625225291,9.56310352537623,7.65063585822346,7.86288638844745,7.65728695747747,7.97804986708605
"17",17,"Bermuda","Northern America",NA,NA,NA,NA,NA,NA,1.0634484432811,NA,1.84497304991088
"18",19,"Bolivia (Plurinational State of)","South America",2.68576352087259,3.47353561221515,4.86659359029022,4.36444841266341,3.48256232735611,3.44357903547265,2.8474958508578,2.42857587142373,4.00954688272181
"19",80,"Bosnia and Herzegovina","Southern Europe",10.8214918359649,7.35340254435539,NA,NA,NA,13.9312279088636,9.60276657760674,6.82137427311058,6.69308261337836
"20",20,"Botswana","Southern Africa",NA,3.48020620577685,3.7251457479026,2.42454975935666,2.25149461754646,1.28162998764161,1.6389615069223,1.53395549149332,1.5741837967818
"21",21,"Brazil","South America",4.53880763938964,5.07686396180585,5.18458597788587,3.59833610627538,2.12815832851551,3.47721412410367,2.58451711191799,4.15855062785696,4.41178256031651
"22",26,"Brunei Darussalam","South-Eastern Asia",NA,NA,NA,NA,NA,5.31152086847272,NA,NA,7.63347807710414
"23",27,"Bulgaria","Eastern Europe",5.56770030931022,11.6469694907376,NA,NA,9.67607356843509,11.1087240630849,8.79411682487446,14.1843305215657,22.7339223953828
"24",233,"Burkina Faso","Western Africa",NA,NA,9.77562578853062,7.72923327164552,12.9814085040345,14.1177832356402,NA,12.3548967901017,13.7010280528296
"25",35,"Cabo Verde","Western Africa",NA,NA,NA,1,7.09231179102395,NA,13.037368057684,10.5040206273721,12.5204371844835
"26",115,"Cambodia","South-Eastern Asia",NA,NA,NA,NA,2.71176353414297,3.40844818708779,NA,7.07468980667065,7.52986668944963
"27",32,"Cameroon","Middle Africa",4.74305730417718,4.34794072166142,9.08332721474624,7.03188805473286,10.6430476517581,11.7421251038412,11.1158521195533,10.0291719075429,9.00786557497951
"28",33,"Canada","Northern America",7.71444144425616,6.52996731311949,5.76138162007311,6.09101191634424,5.28508968540431,4.65995974203795,5.06713673452034,4.7543879137968,5.4498320364157
"29",37,"Central African Republic","Middle Africa",NA,NA,3.83535722656572,5.40494338793142,3.82578407174659,7.49735149826068,9.77871016762269,9.33306889240695,15.5665396990939
"30",40,"Chile","South America",5.71190846831788,7.00195911808524,4.88740484121609,6.6941546132543,4.93859993832939,4.95827086760597,3.85084999357831,6.45139009284545,8.1082148648366
"31",96,"China, Hong Kong SAR","Eastern Asia",8.67740866540519,9.14319660225738,11.1047012783824,12.2315693766122,9.85355130042504,8.42944108110212,8.44159406707938,8.3931005028575,10.8586759131552
"32",128,"China, Macao SAR","Eastern Asia",6.00180123128064,6.9861435389799,6.89988651446449,6.81511918247304,6.04673053282789,6.45076412525804,7.20904879100716,5.68535719892013,8.61762474438295
"33",41,"China, mainland","Eastern Asia",8.02931759925843,6.68445866418375,7.47808966991026,7.97790166052647,9.71075267556184,8.38992596333233,8.63365154822911,6.27326969642918,6.73545643668717
"34",214,"China, Taiwan Province of","Eastern Asia",3.17218281615565,3.1713379340302,2.92274981700937,3.28729613087807,2.98233816977099,3.71185523574346,3.16739904980041,5.49049801247528,8.24512778002127
