"","Area.Code","Year","meanTDkcal","meanTDprot","meanTDfat"
"1",1,1989,0.361245147288444,0.287327787376171,0.150569476936254
"2",1,1992,0.453925202095651,0.347563141597644,0.160034704738978
"3",1,1995,0.636406003021853,0.559332959568548,0.58720435565761
"4",1,1998,0.711134396775173,0.580730638569586,0.879247519073306
"5",1,2001,0.642234062367837,0.505376019204755,0.700042251980764
"6",1,2004,0.676463677538888,0.513740941427293,0.682471607288936
"7",1,2007,0.716590770034454,0.545139052120069,0.62882397598527
"8",1,2010,0.684308247155571,0.512234626801131,0.694184885074198
"9",1,2013,0.691187034340701,0.589792248093009,0.612666711522801
"10",2,1989,0.118465134525967,0.0666138238920065,0.240067953032967
"11",2,1992,0.105812676312498,0.0582468423106348,0.184620793327379
"12",2,1995,0.0836099205272414,0.0446507561946676,0.11451140146014
"13",2,1998,0.076277653487052,0.0327669829775876,0.127161184471237
"14",2,2001,0.275926720518701,0.197792378919273,0.265554125099417
"15",2,2004,0.265104675810836,0.177072464810147,0.512142954385562
"16",2,2007,0.356970260334144,0.200115934572401,0.956794568041968
"17",2,2010,0.411014829864168,0.266023388218415,0.821677771993625
"18",2,2013,0.451537872239773,0.24685407400144,1.31327021179719
"19",3,1989,0.185714357851876,0.0586907670631134,0.375881723648504
"20",3,1992,0.436023716059216,0.317431464778202,0.47807327020735
"21",3,1995,0.456679462193315,0.311511438171958,0.443501587230919
"22",3,1998,0.544717647314014,0.368939581494424,0.455969859404515
"23",3,2001,0.593496163566276,0.412079968302092,0.538307860985293
"24",3,2004,0.701477337552083,0.483617486080859,0.581465965449871
"25",3,2007,0.724434669630221,0.478221515685503,0.639124894760467
"26",3,2010,0.639654981342226,0.417868502792114,0.563839397714336
"27",3,2013,0.582965212594382,0.381489929682183,0.471109937166021
"28",4,1989,1.02162473534175,0.870978382494878,1.09070129666999
"29",4,1992,0.789272032235147,0.68019231059704,0.831232407342989
"30",4,1995,0.905554789066079,0.795989389204499,0.824653549100924
"31",4,1998,0.730689185969362,0.630673706596147,0.774458152776276
"32",4,2001,0.920116959908928,0.794706731047625,0.818427719299918
"33",4,2004,0.911427675041605,0.782597028898434,0.969356133677864
"34",4,2007,0.887216365220358,0.75273563744472,0.944343179904129
"35",4,2010,0.888356980713994,0.758399819107784,0.935492402310345
"36",4,2013,0.980871608593136,0.826707551026517,0.999439086301612
"37",7,1989,0.337870843470123,0.395899214011623,0.504228921565148
"38",7,1992,0.363302553851848,0.384362055965254,0.463897617247004
"39",7,1995,0.308843192334096,0.335558293797605,0.363790894051883
"40",7,1998,0.316046814505523,0.320968675207948,0.391399193455306
"41",7,2001,0.342889307877878,0.342042062081883,0.414911799874406
"42",7,2004,0.472861954333715,0.43384608794603,0.653715103377572
"43",7,2007,0.483583079868021,0.4473692297237,0.74239247286241
"44",7,2010,0.444106626054673,0.400998247099558,0.721749284828829
"45",7,2013,0.545436028468142,0.507199739427708,0.915348384838843
"46",8,1989,0.91835142296193,0.857249771645263,0.830331859986402
"47",8,1992,0.969753526779984,0.846149833793095,0.861114495778023
"48",8,1995,0.924664846152771,0.835431840441335,0.772608653914577
"49",8,1998,1.01562319640282,0.84198368410458,0.785287148550921
"50",8,2001,0.910801510812748,0.75387972037614,0.633184844675344
"51",8,2004,0.9541022825633,0.678092348203552,1.06488329124382
"52",8,2007,1.45582069102038,1.0862698392764,1.61354959769591
"53",8,2010,1.11565540679974,0.962362765583987,1.18240623927857
"54",8,2013,1.48936515821933,1.24773908916798,2.10758574099196
"55",9,1989,-1.21488219486821,-0.621736203537908,-1.62903300920285
"56",9,1992,-1.64973647058169,-0.846261681629592,-2.23250333697421
"57",9,1995,-1.60344942494144,-0.846148115400513,-2.03785161104337
"58",9,1998,-2.27570302332096,-1.2018588395394,-2.54718245307774
"59",9,2001,-2.66168918305389,-1.32167383689528,-3.23582084491622
"60",9,2004,-2.77870128468196,-1.39093202514383,-3.96980734176449
"61",9,2007,-3.42042205736615,-1.59944768840393,-4.88112618253238
"62",9,2010,-2.86143949766774,-1.35449747398397,-3.89456772465311
"63",9,2013,-2.94344145991927,-1.55230111238448,-3.32015518519341
"64",10,1989,-2.9914595864404,-2.59089242294673,-0.528147784278649
"65",10,1992,-2.56006732585105,-2.22604946906287,-0.540070984816514
"66",10,1995,-2.77435940581736,-2.34298757271893,-0.616344656986551
"67",10,1998,-3.84783711167592,-3.39165239330513,-0.88424700973997
"68",10,2001,-3.80038125472376,-3.43822786514365,-0.949155581079809
"69",10,2004,-2.99786815064724,-2.89118998999255,-0.747713481585372
"70",10,2007,-2.44543777159205,-2.26378700742835,-0.568251375490417
"71",10,2010,-2.25310113121024,-2.09005801710069,-0.496451031474345
"72",10,2013,-2.98751820027109,-2.85597120304783,-0.545626908261226
"73",11,1989,-0.095982980892859,-0.165038164754899,0.290875479817634
"74",11,1992,-0.034225268147834,-0.0854321679327566,0.260213189217616
"75",11,1995,0.0496326502848966,-0.0291198874260976,0.190701069620198
"76",11,1998,0.0499119039987667,-0.00205482304671219,0.216060892906171
"77",11,2001,-0.0323457937313971,-0.0832099668784457,0.11017119843474
"78",11,2004,0.0409914812954292,-0.0692959610543407,0.167200874613033
"79",11,2007,0.121334580127398,-0.060262648492079,0.430653570761748
"80",11,2010,0.350601511251636,0.0800810946138203,0.693436346354681
"81",11,2013,0.386396239357756,0.164934135764701,0.572894847416746
"82",12,1989,1.10362230843322,0.913351688241978,1.17555789773842
"83",12,1992,1.04574695915232,0.879342466733446,1.1290258332276
