"","fao_id","Area","subregion","1989","1992","1995","1998","2001","2004","2007","2010","2013"
"1",2,"Afghanistan","Southern Asia",NA,NA,NA,NA,NA,NA,NA,3.2290831983128,3.97626092473076
"2",3,"Albania","Southern Europe",NA,NA,NA,9.6313759993331,13.4056477067651,14.255123631952,10.509373230759,14.8869277513466,11.1754885665666
"3",4,"Algeria","Northern Africa",6.21123266238065,5.91663763491797,5.45233103450037,10.3816569327737,10.6607152769824,14.8818406149523,11.7113948033734,10.0826779274765,8.45495762129454
"4",8,"Antigua and Barbuda","Caribbean",NA,NA,NA,NA,NA,NA,7.06637353324918,NA,8.02332802994006
"5",9,"Argentina","South America",7.01180345219975,9.35091731966972,9.52340494020256,9.25039034212373,8.77332178621564,6.20604794351113,6.27654105958449,7.17823561602826,7.5235405984657
"6",1,"Armenia","Western Asia",7.19847848283266,NA,NA,NA,16.7607893315144,8.93129866360302,7.63475079983834,4.17054833531043,4.37605295876273
"7",10,"Australia","Australia and New Zealand",16.7600116494825,14.5117853527126,16.9180237493865,16.2667136081017,24.6833574538318,19.3916990052071,26.7374091516109,25.5183237600021,26.5843905144874
"8",11,"Austria","Western Europe",34.8834786763548,33.9527202937248,22.2015677877836,7.96722612209804,7.21460693786794,7.12999863035975,8.37974645644779,8.44362687747319,8.9276740747874
"9",52,"Azerbaijan","Western Asia",7.19847848283266,NA,NA,NA,4.71821362331935,4.54840086368565,3.34089339956236,3.74389415299181,3.80597988714952
"10",12,"Bahamas","Caribbean",NA,NA,NA,NA,1.26206174434745,NA,1.41516818088821,1.34152587957113,1.72488184524743
"11",16,"Bangladesh","Southern Asia",NA,NA,NA,7.60075721519727,NA,NA,10.6920400160958,NA,NA
"12",14,"Barbados","Caribbean",5.19248925437291,3.11089436087593,2.95889500164995,2.29430853278684,2.91141049457828,2.56656175301442,2.75235699245333,2.63550404233539,2.82208758526415
"13",57,"Belarus","Eastern Europe",7.19847848283266,NA,NA,6.1486453110648,5.59826895926186,6.37005690374904,7.63473883815357,8.88968385351822,11.7149020207197
"14",255,"Belgium","Western Europe",8.96879405681924,7.88867163974331,7.70728026674725,7.85932605093063,5.00732254617471,7.16943706925027,8.88982047283213,8.81237446042543,8.47193633755914
"15",23,"Belize","Central America",NA,2.38096800636842,4.12649396786555,3.54845129876046,3.6118809927373,3.55006231035065,3.93445866294319,3.68422090800377,4.11882437939448
"16",53,"Benin","Western Africa",NA,3.74849004580672,4.67765366903244,9.59288309173463,8.60318643325049,7.97557013296026,8.32023314762742,8.59686079067264,9.17568262339201
"17",17,"Bermuda","Northern America",NA,NA,NA,NA,NA,NA,2.90463133060511,NA,1.4457496551682
"18",19,"Bolivia (Plurinational State of)","South America",2.84027507039807,3.74582702535622,5.14392316634162,4.63394350146054,3.34171738171004,3.28562726086299,2.55928674881703,2.14421544142374,2.89417226783905
"19",80,"Bosnia and Herzegovina","Southern Europe",16.8670866001207,10.5798944107108,NA,NA,NA,10.7977631106121,7.65790841839015,6.33421583104068,5.90534036601208
"20",20,"Botswana","Southern Africa",NA,3.32842792324098,4.63696125498196,2.73974105388109,2.02680743039031,1.29199365018391,1.67155142766986,1.69586823814373,1.87660296483837
"21",21,"Brazil","South America",4.67647263351923,4.88112597808022,6.28451281733883,4.65666833031649,2.76794525572267,3.79722601262062,2.82058236870105,4.49109161088442,4.88799587925342
"22",26,"Brunei Darussalam","South-Eastern Asia",NA,NA,NA,NA,NA,6.03709125229421,NA,NA,7.74273255698497
"23",27,"Bulgaria","Eastern Europe",2.44716305477627,25.2214306132175,NA,NA,21.7739971946977,23.8088774095559,24.3427655767967,25.5153162258756,24.51304342939
"24",233,"Burkina Faso","Western Africa",NA,NA,9.49741712376994,8.3277402340008,13.0192104045536,14.437440633941,NA,12.0191705612349,13.6795638489203
"25",35,"Cabo Verde","Western Africa",NA,NA,NA,1,6.21840423817856,NA,13.4338449216623,12.2739221421881,13.0154977787275
"26",115,"Cambodia","South-Eastern Asia",NA,NA,NA,NA,4.66511642571071,5.59238726446945,NA,11.4129762604929,9.01466662045046
"27",32,"Cameroon","Middle Africa",4.33243796087908,4.04260044771996,8.89503492993783,7.16581794418814,10.3662740415022,10.8687196059936,9.85566163894194,8.86735097004905,8.22528362384554
"28",33,"Canada","Northern America",3.62087196637157,4.07328081440344,3.89757268214885,3.5924079204281,2.59731703771734,2.28594019093308,2.50353330408384,2.58786930252651,3.23381861718781
"29",37,"Central African Republic","Middle Africa",NA,NA,3.21952865770537,4.26286827451347,2.71482956802665,5.62586232918162,8.23732984796434,8.38536153804866,14.0640608970742
"30",40,"Chile","South America",5.4717102193773,5.69349337289541,4.48625486882433,5.3464050299859,4.30841783231729,4.67768688648786,3.30083447085186,4.87097540311038,5.9582020857464
"31",96,"China, Hong Kong SAR","Eastern Asia",6.44123075823163,7.99222603689473,9.78419061689399,12.8105907790793,13.0643695043727,13.1863610174845,14.2626455645174,16.1522243148257,18.1266142525415
"32",128,"China, Macao SAR","Eastern Asia",5.34946103939589,6.34244812329879,6.82197067723409,7.98085287439642,6.20192226647604,7.13778292736872,8.42970141606063,6.90357111624104,10.1074423668829
"33",41,"China, mainland","Eastern Asia",5.42871376812734,5.36366631375969,5.34199461644823,5.52978620539946,4.23595041154389,3.90313708269272,3.98990533876301,3.75399880849525,3.98705814459952
"34",214,"China, Taiwan Province of","Eastern Asia",2.06649666196728,1.95196698349641,2.01550287449729,2.40521124167475,2.09188907895599,2.95206601983872,2.67262926535911,3.45214807207577,4.72925263976295
