"","fao_id","Area","subregion","1989","1992","1995","1998","2001","2004","2007","2010","2013"
"1",2,"Afghanistan","Southern Asia",NA,NA,NA,NA,NA,NA,NA,0.435562615142667,0.428301576956652
"2",3,"Albania","Southern Europe",NA,NA,NA,0.689977915346429,0.762597199559646,0.82470804306777,0.752873838881163,0.819374530196757,0.789667898907751
"3",4,"Algeria","Northern Africa",0.669144090037666,0.601299732210141,0.48668614315889,0.736661908956183,0.729981126882543,0.791454688787258,0.722382106364448,0.697958354602251,0.661168973488447
"4",8,"Antigua and Barbuda","Caribbean",NA,NA,NA,NA,NA,NA,0.599025501074863,NA,0.697805946940768
"5",9,"Argentina","South America",0.668727282140607,0.744285934297243,0.619552825315673,0.686457242173282,0.698134877551957,0.601538878070657,0.666259947246689,0.672457943640029,0.675082922907778
"6",1,"Armenia","Western Asia",0.620562940772706,NA,NA,NA,0.778913452390898,0.668104681056779,0.663185690084781,0.528194518664227,0.511627344459599
"7",10,"Australia","Australia and New Zealand",0.768880565001282,0.749323387319309,0.748523572918019,0.755926986520548,0.802441526436346,0.818433285212956,0.791025980178187,0.794648976820959,0.840825236837561
"8",11,"Austria","Western Europe",0.878842778843112,0.875784252766504,0.823430438066192,0.629510112707921,0.601966465479181,0.58831837953903,0.689195082056531,0.675637606274102,0.68593647244494
"9",52,"Azerbaijan","Western Asia",0.620562940772706,NA,NA,NA,0.560034537332199,0.584266200643201,0.512275946888696,0.561270398889603,0.539164539085709
"10",12,"Bahamas","Caribbean",NA,NA,NA,NA,0.0788347892762033,NA,0.10155137711823,0.102021207978249,0.176451401028681
"11",16,"Bangladesh","Southern Asia",NA,NA,NA,0.68777752788316,NA,NA,0.683295499428359,NA,NA
"12",14,"Barbados","Caribbean",0.48537260246249,0.436659890359529,0.483573338211607,0.522590968613296,0.524532576244387,0.488287847970008,0.485195708878814,0.532057743692134,0.588837266063962
"13",57,"Belarus","Eastern Europe",0.620562940772706,NA,NA,0.685767183772433,0.670742345863391,0.619153205856003,0.598095541064576,0.600053823896332,0.616374630901757
"14",255,"Belgium","Western Europe",0.639104970825095,0.601689083256043,0.601901007388313,0.596521464040635,0.541686677317441,0.607026731478377,0.598367270772307,0.602268885790367,0.610754151331568
"15",23,"Belize","Central America",NA,0.229007863283559,0.347194883959411,0.31604902830539,0.328884635817502,0.379043937469055,0.436570585713001,0.447674583821706,0.418571150013242
"16",53,"Benin","Western Africa",NA,0.382128524603539,0.513222406575583,0.716057463983865,0.742153457558499,0.649664922669787,0.681935415010939,0.658151473181224,0.659219352717694
"17",17,"Bermuda","Northern America",NA,NA,NA,NA,NA,NA,0.0927774123698074,NA,0.164720513475997
"18",19,"Bolivia (Plurinational State of)","South America",0.338686475850625,0.384894938803965,0.479876509738583,0.461363993448577,0.380711702919653,0.370011690893338,0.323377689781245,0.282031587579932,0.415909882964372
"19",80,"Bosnia and Herzegovina","Southern Europe",0.769669098730113,0.649806505581948,NA,NA,NA,0.717326979065716,0.634162556943428,0.565497507521734,0.568138498645206
"20",20,"Botswana","Southern Africa",NA,0.371159249491688,0.385914513195738,0.255660534425045,0.24035245743492,0.0630049098270778,0.127671339554563,0.115175128855011,0.125819331118429
"21",21,"Brazil","South America",0.448504769186509,0.500248533910997,0.497908741454338,0.408927429384736,0.263439741764441,0.392665470290656,0.334818720706888,0.48413261744155,0.528086786848542
"22",26,"Brunei Darussalam","South-Eastern Asia",NA,NA,NA,NA,NA,0.488805284426504,NA,NA,0.600274295085678
"23",27,"Bulgaria","Eastern Europe",0.462538493467239,0.755866070392324,NA,NA,0.790366763730189,0.806937050564723,0.758318946852561,0.831453317911943,0.900730116264574
"24",233,"Burkina Faso","Western Africa",NA,NA,0.65384783755317,0.615297618533933,0.724977772394777,0.802340057702924,NA,0.710266776111783,0.758751777144834
"25",35,"Cabo Verde","Western Africa",NA,NA,NA,0,0.553376986119111,NA,0.72433407563225,0.689204645151878,0.70559692755183
"26",115,"Cambodia","South-Eastern Asia",NA,NA,NA,NA,0.376605395394695,0.445839260853054,NA,0.62277852116822,0.632417069106924
"27",32,"Cameroon","Middle Africa",0.493000435769856,0.46104791927816,0.674315904876814,0.592567929490231,0.726595262127956,0.752443043046862,0.736005184146174,0.708729791760153,0.678911239684874
"28",33,"Canada","Northern America",0.587164611416475,0.549906587660562,0.508148326527695,0.495598214992535,0.439404143824446,0.413553407166084,0.441402385293645,0.427041529308277,0.481124980711232
"29",37,"Central African Republic","Middle Africa",NA,NA,0.470122154694143,0.519580666228909,0.426995021909954,0.633886184149662,0.704239298882088,0.712280319693056,0.831248232216768
"30",40,"Chile","South America",0.500865010595713,0.49533842509608,0.432185954391411,0.485553152712774,0.427382231513753,0.408288135313877,0.355109788422703,0.48658623451743,0.553581738977943
"31",96,"China, Hong Kong SAR","Eastern Asia",0.663741063105953,0.701786841687994,0.729196312062062,0.741952955420401,0.75777463008416,0.735541645246445,0.730166508200192,0.756729188008864,0.80649968140574
"32",128,"China, Macao SAR","Eastern Asia",0.524791853897518,0.572729897938166,0.591080643217892,0.607627240535081,0.538550921607699,0.591399841661801,0.614267474271343,0.533787314587346,0.661608705436161
"33",41,"China, mainland","Eastern Asia",0.666732273688395,0.663545674243136,0.676064304911384,0.68533246922971,0.649101978316868,0.605475331253137,0.606902038658352,0.585667622954059,0.611884338255089
"34",214,"China, Taiwan Province of","Eastern Asia",0.347186865662103,0.363443036829204,0.350839685463931,0.398893508555297,0.3765795259674,0.449367758037503,0.415884944296462,0.521589711334904,0.625180436361289
